Customer.ID,Customer.Name,Region,total_sales,rank_in_region
AB-2553,Alejandro Ballentine,EMEA,313,500.0
AB-6001,Ann Blume,Africa,1384,186.0
AB-6002,Ann Blume,EMEA,4027,22.0
AB-601,Adam Bellavance,Africa,1483,168.0
AB-602,Adam Bellavance,EMEA,287,510.0
AC-104201,Alyssa Crouse,North Asia,3037,79.0
AC-104201,Alyssa Crouse,Oceania,310,520.0
AC-104201,Alyssa Crouse,Southeast Asia,739,341.0
AC-104202,Alyssa Crouse,Central,446,1113.0
AC-104202,Alyssa Crouse,North,410,662.0
AC-104202,Alyssa Crouse,South,177,949.0
AC-104203,Alyssa Crouse,Caribbean,384,223.0
AC-104203,Alyssa Crouse,Central,22,1438.0
AC-104203,Alyssa Crouse,North,3827,37.0
AC-104203,Alyssa Crouse,South,328,831.0
AC-104204,Alyssa Crouse,Central,162,1312.0
AC-104204,Alyssa Crouse,East,58,498.0
AC-104204,Alyssa Crouse,West,706,313.0
AC-104501,Amy Cox,Central Asia,6640,9.0
AC-104501,Amy Cox,Oceania,705,417.0
AC-104501,Amy Cox,Southeast Asia,265,476.0
AC-104502,Amy Cox,Central,1415,648.0
AC-104502,Amy Cox,North,880,451.0
AC-104503,Amy Cox,Caribbean,600,173.0
AC-104503,Amy Cox,South,94,1019.0
AC-104504,Amy Cox,Central,1794,532.0
AC-104504,Amy Cox,East,70,488.0
AC-104504,Amy Cox,South,1703,267.0
AC-104504,Amy Cox,West,1962,112.0
AC-106151,Ann Chong,Central Asia,1350,185.0
AC-106151,Ann Chong,North Asia,2182,129.0
AC-106151,Ann Chong,Oceania,1502,265.0
AC-106151,Ann Chong,Southeast Asia,719,347.0
AC-106152,Ann Chong,Central,646,994.0
AC-106152,Ann Chong,North,64,900.0
AC-106152,Ann Chong,South,2028,202.0
AC-106153,Ann Chong,Caribbean,174,296.0
AC-106153,Ann Chong,Central,681,972.0
AC-106153,Ann Chong,North,562,585.0
AC-106153,Ann Chong,South,282,867.0
AC-106154,Ann Chong,Central,13,1447.0
AC-106154,Ann Chong,East,2445,65.0
AC-106154,Ann Chong,West,80,529.0
AC-106601,Anna Chung,North Asia,587,348.0
AC-106601,Anna Chung,Southeast Asia,588,384.0
AC-106602,Anna Chung,Central,1722,555.0
AC-106602,Anna Chung,North,468,635.0
AC-106602,Anna Chung,South,44,1066.0
AC-106603,Anna Chung,Caribbean,1262,75.0
AC-106603,Anna Chung,Central,759,939.0
AC-106603,Anna Chung,North,150,834.0
AC-106603,Anna Chung,South,18,1092.0
AC-106604,Anna Chung,Central,180,1297.0
AC-106604,Anna Chung,East,191,423.0
AC-106604,Anna Chung,West,287,433.0
AC-4201,Alyssa Crouse,Africa,841,292.0
AC-4202,Alyssa Crouse,EMEA,849,312.0
AC-4501,Amy Cox,Africa,670,342.0
AC-4502,Amy Cox,Canada,147,87.0
AC-4503,Amy Cox,EMEA,210,543.0
AC-6151,Ann Chong,Africa,1706,139.0
AC-6152,Ann Chong,EMEA,593,388.0
AC-6601,Anna Chung,Africa,2666,66.0
AC-6602,Anna Chung,EMEA,10,637.0
AD-101801,Alan Dominguez,Central Asia,46,482.0
AD-101801,Alan Dominguez,North Asia,1398,209.0
AD-101801,Alan Dominguez,Oceania,1646,238.0
AD-101801,Alan Dominguez,Southeast Asia,6119,8.0
AD-101802,Alan Dominguez,Central,253,1246.0
AD-101802,Alan Dominguez,North,748,499.0
AD-101803,Alan Dominguez,Caribbean,86,343.0
AD-101803,Alan Dominguez,North,559,588.0
AD-101803,Alan Dominguez,South,896,525.0
AD-101804,Alan Dominguez,Central,601,1019.0
AD-101804,Alan Dominguez,East,1152,181.0
AD-101804,Alan Dominguez,West,4353,19.0
AD-1801,Alan Dominguez,Africa,12,629.0
AD-1802,Alan Dominguez,EMEA,669,361.0
AF-108701,Art Ferguson,Central Asia,4033,43.0
AF-108701,Art Ferguson,North Asia,2397,116.0
AF-108701,Art Ferguson,Oceania,1988,193.0
AF-108701,Art Ferguson,Southeast Asia,2375,118.0
AF-108702,Art Ferguson,Central,6878,24.0
AF-108702,Art Ferguson,North,108,863.0
AF-108702,Art Ferguson,South,822,568.0
AF-108703,Art Ferguson,Caribbean,3980,4.0
AF-108703,Art Ferguson,Central,197,1286.0
AF-108703,Art Ferguson,North,96,874.0
AF-108703,Art Ferguson,South,1559,303.0
AF-108704,Art Ferguson,Central,345,1172.0
AF-108704,Art Ferguson,East,1562,124.0
AF-108704,Art Ferguson,South,47,1063.0
AF-108704,Art Ferguson,West,98,521.0
AF-108851,Art Foster,Central Asia,6232,11.0
AF-108851,Art Foster,North Asia,214,443.0
AF-108851,Art Foster,Oceania,996,337.0
AF-108851,Art Foster,Southeast Asia,905,304.0
AF-108852,Art Foster,Central,3775,159.0
AF-108852,Art Foster,North,951,429.0
AF-108852,Art Foster,South,1154,421.0
AF-108853,Art Foster,Caribbean,434,209.0
AF-108853,Art Foster,North,4171,27.0
AF-108853,Art Foster,South,16,1094.0
AF-108854,Art Foster,East,490,328.0
AF-108854,Art Foster,South,372,803.0
AF-8701,Art Ferguson,Africa,672,340.0
AF-8702,Art Ferguson,Canada,125,96.0
AF-8703,Art Ferguson,EMEA,901,292.0
AF-8851,Art Foster,Africa,139,567.0
AF-8852,Art Foster,EMEA,215,541.0
AG-102701,Alejandro Grove,Central Asia,97,450.0
AG-102701,Alejandro Grove,North Asia,3495,63.0
AG-102701,Alejandro Grove,Oceania,823,384.0
AG-102701,Alejandro Grove,Southeast Asia,356,444.0
AG-102702,Alejandro Grove,Central,1339,675.0
AG-102702,Alejandro Grove,North,324,705.0
AG-102703,Alejandro Grove,Caribbean,34,385.0
AG-102703,Alejandro Grove,Central,483,1092.0
AG-102703,Alejandro Grove,North,432,649.0
AG-102703,Alejandro Grove,South,673,640.0
AG-102704,Alejandro Grove,Central,2375,372.0
AG-102704,Alejandro Grove,East,153,444.0
AG-102704,Alejandro Grove,West,56,545.0
AG-103001,Aleksandra Gannaway,North Asia,1021,263.0
AG-103001,Aleksandra Gannaway,Oceania,1736,221.0
AG-103001,Aleksandra Gannaway,Southeast Asia,455,417.0
AG-103002,Aleksandra Gannaway,Central,2272,397.0
AG-103002,Aleksandra Gannaway,North,1695,230.0
AG-103002,Aleksandra Gannaway,South,2104,190.0
AG-103003,Aleksandra Gannaway,Caribbean,160,303.0
AG-103003,Aleksandra Gannaway,Central,1620,586.0
AG-103003,Aleksandra Gannaway,North,1240,339.0
AG-103003,Aleksandra Gannaway,South,344,821.0
AG-103004,Aleksandra Gannaway,East,82,480.0
AG-103004,Aleksandra Gannaway,West,285,434.0
AG-103301,Alex Grayson,North Asia,42,526.0
AG-103301,Alex Grayson,Oceania,960,347.0
AG-103301,Alex Grayson,Southeast Asia,3206,66.0
AG-103302,Alex Grayson,Central,2188,417.0
AG-103302,Alex Grayson,North,1289,324.0
AG-103302,Alex Grayson,South,113,1003.0
AG-103303,Alex Grayson,Caribbean,2832,16.0
AG-103303,Alex Grayson,Central,24,1436.0
AG-103303,Alex Grayson,North,742,502.0
AG-103303,Alex Grayson,South,2480,146.0
AG-103304,Alex Grayson,Central,357,1163.0
AG-103304,Alex Grayson,South,13,1097.0
AG-103304,Alex Grayson,West,292,431.0
AG-103901,Allen Goldenen,Oceania,2228,163.0
AG-103902,Allen Goldenen,Central,2646,317.0
AG-103903,Allen Goldenen,Caribbean,1547,52.0
AG-103903,Allen Goldenen,Central,473,1099.0
AG-103903,Allen Goldenen,North,341,696.0
AG-103903,Allen Goldenen,South,1019,476.0
AG-103904,Allen Goldenen,East,47,507.0
AG-103904,Allen Goldenen,South,134,987.0
AG-103904,Allen Goldenen,West,20,568.0
AG-104951,Andrew Gjertsen,Central Asia,570,309.0
AG-104951,Andrew Gjertsen,North Asia,2675,96.0
AG-104951,Andrew Gjertsen,Oceania,75,602.0
AG-104951,Andrew Gjertsen,Southeast Asia,131,525.0
AG-104952,Andrew Gjertsen,Central,6038,44.0
AG-104952,Andrew Gjertsen,South,1423,335.0
AG-104953,Andrew Gjertsen,Caribbean,21,397.0
AG-104953,Andrew Gjertsen,Central,1520,615.0
AG-104953,Andrew Gjertsen,North,569,580.0
AG-104954,Andrew Gjertsen,Central,915,856.0
AG-104954,Andrew Gjertsen,East,115,464.0
AG-104954,Andrew Gjertsen,South,1128,432.0
AG-104954,Andrew Gjertsen,West,198,468.0
AG-105251,Andy Gerbode,Central Asia,324,373.0
AG-105252,Andy Gerbode,Central,2891,267.0
AG-105252,Andy Gerbode,North,79,888.0
AG-105252,Andy Gerbode,South,1101,444.0
AG-105253,Andy Gerbode,Caribbean,122,322.0
AG-105253,Andy Gerbode,Central,521,1066.0
AG-105253,Andy Gerbode,North,1698,228.0
AG-105253,Andy Gerbode,South,279,868.0
AG-105254,Andy Gerbode,Central,560,1044.0
AG-105254,Andy Gerbode,East,654,284.0
AG-105254,Andy Gerbode,South,241,899.0
AG-106751,Anna Gayman,Oceania,2059,184.0
AG-106751,Anna Gayman,Southeast Asia,1585,202.0
AG-106752,Anna Gayman,Central,959,836.0
AG-106752,Anna Gayman,North,1058,395.0
AG-106752,Anna Gayman,South,267,878.0
AG-106753,Anna Gayman,Central,1424,643.0
AG-106753,Anna Gayman,South,2182,178.0
AG-106754,Anna Gayman,Central,2894,266.0
AG-106754,Anna Gayman,South,595,673.0
AG-107651,Anthony Garverick,Central Asia,536,319.0
AG-107651,Anthony Garverick,North Asia,97,498.0
AG-107651,Anthony Garverick,Southeast Asia,953,294.0
AG-107652,Anthony Garverick,Central,719,958.0
AG-107652,Anthony Garverick,North,290,730.0
AG-107652,Anthony Garverick,South,1150,423.0
AG-107653,Anthony Garverick,Caribbean,1242,76.0
AG-107653,Anthony Garverick,Central,3923,146.0
AG-107653,Anthony Garverick,North,497,619.0
AG-107653,Anthony Garverick,South,251,892.0
AG-107654,Anthony Garverick,Central,51,1410.0
AG-107654,Anthony Garverick,East,6,537.0
AG-107654,Anthony Garverick,South,113,1003.0
AG-109001,Arthur Gainer,Central Asia,4311,38.0
AG-109001,Arthur Gainer,Oceania,428,491.0
AG-109001,Arthur Gainer,Southeast Asia,296,462.0
AG-109002,Arthur Gainer,Central,2254,400.0
AG-109002,Arthur Gainer,South,854,547.0
AG-109003,Arthur Gainer,Central,84,1378.0
AG-109003,Arthur Gainer,North,3964,32.0
AG-109003,Arthur Gainer,South,1471,323.0
AG-109004,Arthur Gainer,Central,1372,663.0
AG-109004,Arthur Gainer,East,260,400.0
AG-109004,Arthur Gainer,South,497,733.0
AG-109004,Arthur Gainer,West,2382,77.0
AG-2701,Alejandro Grove,Africa,1997,102.0
AG-2702,Alejandro Grove,Canada,296,60.0
AG-2703,Alejandro Grove,EMEA,486,429.0
AG-3001,Aleksandra Gannaway,Africa,866,288.0
AG-3002,Aleksandra Gannaway,EMEA,835,316.0
AG-3301,Alex Grayson,Africa,513,400.0
AG-3302,Alex Grayson,EMEA,20,632.0
AG-3901,Allen Goldenen,Africa,414,434.0
AG-3902,Allen Goldenen,EMEA,59,608.0
AG-4951,Andrew Gjertsen,Africa,469,413.0
AG-4952,Andrew Gjertsen,Canada,52,122.0
AG-4953,Andrew Gjertsen,EMEA,482,432.0
AG-5251,Andy Gerbode,Africa,802,298.0
AG-5252,Andy Gerbode,EMEA,2067,106.0
AG-6751,Anna Gayman,Africa,774,306.0
AG-6752,Anna Gayman,EMEA,1595,155.0
AG-7651,Anthony Garverick,Africa,769,308.0
AG-7652,Anthony Garverick,EMEA,1090,238.0
AG-9001,Arthur Gainer,Africa,1698,142.0
AH-100301,Aaron Hawkins,Central Asia,360,364.0
AH-100301,Aaron Hawkins,North Asia,2530,106.0
AH-100301,Aaron Hawkins,Southeast Asia,1264,249.0
AH-100302,Aaron Hawkins,Central,3720,163.0
AH-100302,Aaron Hawkins,North,253,755.0
AH-100303,Aaron Hawkins,Caribbean,858,118.0
AH-100303,Aaron Hawkins,Central,2580,330.0
AH-100303,Aaron Hawkins,North,963,425.0
AH-100303,Aaron Hawkins,South,167,958.0
AH-100304,Aaron Hawkins,East,331,377.0
AH-100304,Aaron Hawkins,South,86,1025.0
AH-100304,Aaron Hawkins,West,1327,185.0
AH-100751,Adam Hart,Central Asia,1637,155.0
AH-100751,Adam Hart,North Asia,151,474.0
AH-100751,Adam Hart,Oceania,3491,80.0
AH-100751,Adam Hart,Southeast Asia,2012,150.0
AH-100752,Adam Hart,Central,2642,319.0
AH-100752,Adam Hart,North,1243,336.0
AH-100752,Adam Hart,South,641,653.0
AH-100753,Adam Hart,Caribbean,845,122.0
AH-100753,Adam Hart,Central,109,1355.0
AH-100753,Adam Hart,North,2052,166.0
AH-100753,Adam Hart,South,38,1072.0
AH-100754,Adam Hart,Central,218,1272.0
AH-100754,Adam Hart,East,2215,73.0
AH-100754,Adam Hart,South,355,815.0
AH-100754,Adam Hart,West,463,370.0
AH-101201,Adrian Hane,North Asia,336,406.0
AH-101201,Adrian Hane,Oceania,222,548.0
AH-101202,Adrian Hane,Central,1350,670.0
AH-101202,Adrian Hane,North,2240,137.0
AH-101203,Adrian Hane,Central,206,1280.0
AH-101203,Adrian Hane,North,3838,36.0
AH-101204,Adrian Hane,Central,224,1267.0
AH-101204,Adrian Hane,South,201,928.0
AH-101204,Adrian Hane,West,1311,189.0
AH-101951,Alan Haines,Central Asia,1168,205.0
AH-101951,Alan Haines,Oceania,514,468.0
AH-101951,Alan Haines,Southeast Asia,2157,139.0
AH-101952,Alan Haines,Central,88,1375.0
AH-101952,Alan Haines,North,317,710.0
AH-101952,Alan Haines,South,1428,334.0
AH-101953,Alan Haines,Caribbean,644,165.0
AH-101953,Alan Haines,Central,1412,650.0
AH-101953,Alan Haines,North,2795,88.0
AH-101953,Alan Haines,South,519,720.0
AH-101954,Alan Haines,Central,16,1444.0
AH-101954,Alan Haines,East,162,438.0
AH-101954,Alan Haines,South,1410,338.0
AH-102101,Alan Hwang,North Asia,1086,258.0
AH-102101,Alan Hwang,Southeast Asia,25,575.0
AH-102102,Alan Hwang,Central,4545,102.0
AH-102102,Alan Hwang,North,804,476.0
AH-102102,Alan Hwang,South,2068,194.0
AH-102103,Alan Hwang,Caribbean,306,241.0
AH-102103,Alan Hwang,Central,3324,207.0
AH-102103,Alan Hwang,North,227,775.0
AH-102103,Alan Hwang,South,3174,90.0
AH-102104,Alan Hwang,Central,196,1287.0
AH-102104,Alan Hwang,East,802,243.0
AH-102104,Alan Hwang,South,1943,218.0
AH-102104,Alan Hwang,West,1864,123.0
AH-104651,Amy Hunt,Central Asia,522,322.0
AH-104651,Amy Hunt,North Asia,47,523.0
AH-104651,Amy Hunt,Oceania,1362,284.0
AH-104651,Amy Hunt,Southeast Asia,252,480.0
AH-104652,Amy Hunt,Central,88,1375.0
AH-104652,Amy Hunt,North,163,823.0
AH-104653,Amy Hunt,Caribbean,16,401.0
AH-104653,Amy Hunt,Central,1343,674.0
AH-104653,Amy Hunt,North,2075,163.0
AH-104653,Amy Hunt,South,187,940.0
AH-104654,Amy Hunt,Central,1757,545.0
AH-104654,Amy Hunt,East,563,305.0
AH-104654,Amy Hunt,South,104,1011.0
AH-104654,Amy Hunt,West,71,536.0
AH-105851,Angele Hood,Central Asia,637,290.0
AH-105851,Angele Hood,North Asia,626,340.0
AH-105851,Angele Hood,Oceania,4532,41.0
AH-105851,Angele Hood,Southeast Asia,410,427.0
AH-105852,Angele Hood,Central,1205,729.0
AH-105852,Angele Hood,North,164,822.0
AH-105852,Angele Hood,South,246,895.0
AH-105853,Angele Hood,South,567,691.0
AH-105854,Angele Hood,Central,16,1444.0
AH-105854,Angele Hood,South,239,901.0
AH-105854,Angele Hood,West,483,366.0
AH-106901,Anna Häberlin,Central Asia,978,228.0
AH-106901,Anna Häberlin,North Asia,1177,244.0
AH-106901,Anna Häberlin,Oceania,2008,191.0
AH-106902,Anna Häberlin,Central,1458,633.0
AH-106902,Anna Häberlin,North,764,493.0
AH-106902,Anna Häberlin,South,1292,376.0
AH-106903,Anna Häberlin,Caribbean,72,352.0
AH-106903,Anna Häberlin,Central,260,1241.0
AH-106903,Anna Häberlin,North,33,926.0
AH-106903,Anna Häberlin,South,345,820.0
AH-106904,Anna Häberlin,Central,1134,757.0
AH-106904,Anna Häberlin,East,71,487.0
AH-106904,Anna Häberlin,South,5372,15.0
AH-106904,Anna Häberlin,West,1312,188.0
AH-1201,Adrian Hane,Africa,1476,170.0
AH-1202,Adrian Hane,EMEA,2,643.0
AH-1951,Alan Haines,Africa,80,594.0
AH-1952,Alan Haines,Canada,88,110.0
AH-1953,Alan Haines,EMEA,2483,80.0
AH-2101,Alan Hwang,Africa,3090,45.0
AH-2102,Alan Hwang,EMEA,187,555.0
AH-301,Aaron Hawkins,Africa,5072,10.0
AH-302,Aaron Hawkins,EMEA,1248,204.0
AH-4651,Amy Hunt,Africa,540,390.0
AH-4652,Amy Hunt,EMEA,112,586.0
AH-5851,Angele Hood,Africa,889,282.0
AH-5852,Angele Hood,EMEA,1343,191.0
AH-6901,Anna Häberlin,Africa,948,262.0
AH-6902,Anna Häberlin,EMEA,869,304.0
AH-751,Adam Hart,Africa,3426,37.0
AH-752,Adam Hart,Canada,137,90.0
AH-753,Adam Hart,EMEA,45,616.0
AI-108551,Arianne Irving,Oceania,1687,232.0
AI-108551,Arianne Irving,Southeast Asia,172,507.0
AI-108552,Arianne Irving,Central,822,903.0
AI-108552,Arianne Irving,North,995,410.0
AI-108552,Arianne Irving,South,288,862.0
AI-108553,Arianne Irving,Central,20,1440.0
AI-108554,Arianne Irving,East,71,487.0
AI-108554,Arianne Irving,South,505,726.0
AI-108554,Arianne Irving,West,3800,29.0
AI-8551,Arianne Irving,Africa,30,620.0
AI-8552,Arianne Irving,EMEA,891,294.0
AJ-107801,Anthony Jacobs,Central Asia,5498,19.0
AJ-107801,Anthony Jacobs,North Asia,241,430.0
AJ-107801,Anthony Jacobs,Southeast Asia,82,545.0
AJ-107802,Anthony Jacobs,Central,2773,290.0
AJ-107802,Anthony Jacobs,North,1125,372.0
AJ-107803,Anthony Jacobs,Central,78,1384.0
AJ-107803,Anthony Jacobs,North,301,722.0
AJ-107803,Anthony Jacobs,South,222,915.0
AJ-107804,Anthony Jacobs,East,4487,25.0
AJ-107804,Anthony Jacobs,South,62,1049.0
AJ-107804,Anthony Jacobs,West,319,418.0
AJ-107951,Anthony Johnson,Central Asia,327,371.0
AJ-107951,Anthony Johnson,North Asia,217,442.0
AJ-107951,Anthony Johnson,Oceania,665,425.0
AJ-107952,Anthony Johnson,Central,208,1279.0
AJ-107952,Anthony Johnson,North,22,935.0
AJ-107952,Anthony Johnson,South,2019,204.0
AJ-107953,Anthony Johnson,Central,256,1244.0
AJ-107953,Anthony Johnson,North,656,543.0
AJ-107953,Anthony Johnson,South,18,1092.0
AJ-107954,Anthony Johnson,East,5,538.0
AJ-107954,Anthony Johnson,South,1725,259.0
AJ-107954,Anthony Johnson,West,2771,56.0
AJ-109451,Ashley Jarboe,Central Asia,1147,207.0
AJ-109451,Ashley Jarboe,North Asia,151,474.0
AJ-109451,Ashley Jarboe,Oceania,893,369.0
AJ-109451,Ashley Jarboe,Southeast Asia,138,521.0
AJ-109452,Ashley Jarboe,Central,3051,246.0
AJ-109452,Ashley Jarboe,North,351,692.0
AJ-109453,Ashley Jarboe,Caribbean,44,376.0
AJ-109453,Ashley Jarboe,North,2815,84.0
AJ-109453,Ashley Jarboe,South,658,646.0
AJ-109454,Ashley Jarboe,Central,1716,558.0
AJ-109454,Ashley Jarboe,South,19,1091.0
AJ-109454,Ashley Jarboe,West,104,516.0
AJ-109601,Astrea Jones,Central Asia,64,472.0
AJ-109601,Astrea Jones,Oceania,845,379.0
AJ-109601,Astrea Jones,Southeast Asia,800,329.0
AJ-109602,Astrea Jones,Central,2791,287.0
AJ-109602,Astrea Jones,South,1711,264.0
AJ-109603,Astrea Jones,Caribbean,1728,44.0
AJ-109603,Astrea Jones,Central,64,1397.0
AJ-109604,Astrea Jones,East,618,293.0
AJ-109604,Astrea Jones,West,11,574.0
AJ-7801,Anthony Jacobs,Africa,1608,152.0
AJ-7802,Anthony Jacobs,Canada,19,141.0
AJ-7803,Anthony Jacobs,EMEA,942,283.0
